Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP per capita,Region
1,Armenia,2019,3022.0,94.29,32.263,2945,2958,0.441,3.97,12.0,ARM,4604.646,Europe & Central Asia
2,Afghanistan,2019,2273.0,57.31,8.227,36296,38042,4.81,0.507,28.0,AFG,494.179,South Asia
3,Albania,2019,3338.0,116.02,30.587,2884,2881,-0.104,2.297,12.0,ALB,5395.66,Europe & Central Asia
4,Algeria,2019,3493.0,90.84,10.85,41389,43053,4.02,1.25,291.0,DZA,3989.668,Middle East & North Africa
7,Angola,2019,2445.0,52.09,8.63,29817,31825,6.734,2.753,49.0,AGO,2809.626,Sub-Saharan Africa
8,Antigua and Barbuda,2019,2485.0,80.8,28.974,95,97,2.105,16.203,0.0,ATG,17376.65,Latin America & Caribbean
9,Argentina,2019,3304.0,106.95,30.781,43937,44781,1.921,8.938,2248.0,ARG,10056.638,Latin America & Caribbean
10,Australia,2019,3417.0,107.94,32.163,24585,25203,2.514,9.449,1278.0,AUS,54875.286,East Asia & Pacific
11,Austria,2019,3691.0,108.95,31.265,8820,8955,1.531,3.144,132.0,AUT,50114.401,Europe & Central Asia
12,"Bahamas, The",2019,2626.0,76.1,28.522,382,389,1.832,13.243,6.0,BHS,33799.418,Latin America & Caribbean
14,Barbados,2019,2989.0,90.04,23.854,286,287,0.35,10.726,16.0,BRB,18148.498,Latin America & Caribbean
16,Bangladesh,2019,2626.0,61.33,4.684,159685,163046,2.105,0.399,260.0,BGD,1855.74,South Asia
19,Bolivia,2019,2464.0,74.37,22.159,11193,11513,2.859,11.456,494.0,BOL,3552.068,Latin America & Caribbean
20,Botswana,2019,2570.0,72.18,13.852,2205,2304,4.49,0.769,2.0,BWA,7203.064,Sub-Saharan Africa
21,Brazil,2019,3246.0,93.81,26.956,207834,211050,1.547,9.469,14137.0,BRA,8897.553,Latin America & Caribbean
23,Belize,2019,2744.0,73.54,22.449,376,390,3.723,6.569,21.0,BLZ,5078.81,Latin America & Caribbean
25,Solomon Islands,2019,2411.0,52.85,8.378,636,670,5.346,1.515,0.0,SLB,2344.049,East Asia & Pacific
27,Bulgaria,2019,2854.0,82.24,24.177,7102,7000,-1.436,5.226,109.0,BGR,9879.269,Europe & Central Asia
28,Myanmar,2019,2847.0,97.57,22.41,53383,54045,1.24,7.424,1817.0,MMR,1271.112,East Asia & Pacific
29,Burundi,2019,1825.0,43.35,2.521,10827,11531,6.502,0.161,7.0,BDI,228.214,Sub-Saharan Africa
32,Cameroon,2019,2770.0,72.03,4.116,24566,25876,5.333,0.778,84.0,CMR,1533.096,Sub-Saharan Africa
33,Canada,2019,3539.0,108.55,27.126,36732,37411,1.849,7.601,1504.0,CAN,46338.341,North America
35,Cabo Verde,2019,2583.0,71.9,16.492,537,550,2.421,4.533,1.0,CPV,3603.775,Sub-Saharan Africa
37,Central African Republic,2019,1870.0,50.9,14.225,4596,4745,3.242,0.977,7.0,CAF,467.908,Sub-Saharan Africa
38,Sri Lanka,2019,2719.0,67.43,7.576,21128,21324,0.928,2.124,189.0,LKA,3852.266,South Asia
39,Chad,2019,2272.0,78.06,14.261,15017,15947,6.193,0.118,7.0,TCD,709.54,Sub-Saharan Africa
40,Chile,2019,3078.0,93.87,25.731,18470,18952,2.61,7.631,769.0,CHL,14741.714,Latin America & Caribbean
44,Colombia,2019,2992.0,72.72,18.683,48910,50339,2.922,7.859,1693.0,COL,6424.979,Latin America & Caribbean
45,Comoros,2019,2285.0,57.57,8.053,814,851,4.545,1.785,1.0,COM,1401.542,Sub-Saharan Africa
46,"Congo, Rep.",2019,2183.0,53.11,10.169,5111,5381,5.283,6.281,7.0,COG,2369.729,Sub-Saharan Africa
48,Costa Rica,2019,2996.0,80.84,23.131,4950,5048,1.98,5.916,145.0,CRI,12693.828,Latin America & Caribbean
49,Cuba,2019,3375.0,82.59,15.644,11339,11333,-0.053,5.399,25.0,CUB,9125.879,Latin America & Caribbean
50,Cyprus,2019,3046.0,92.38,22.521,1180,1199,1.61,5.574,27.0,CYP,29206.077,Europe & Central Asia
52,Azerbaijan,2019,3154.0,95.92,18.358,9845,10048,2.062,3.012,112.0,AZE,4805.754,Europe & Central Asia
53,Benin,2019,2775.0,62.92,4.613,11175,11801,5.602,2.412,15.0,BEN,1219.516,Sub-Saharan Africa
54,Denmark,2019,3421.0,115.38,36.364,5732,5772,0.698,4.827,158.0,DNK,59775.735,Europe & Central Asia
55,Dominica,2019,2929.0,81.47,22.397,71,72,1.408,9.072,0.0,DMA,8516.28,Latin America & Caribbean
56,Dominican Republic,2019,2970.0,69.79,17.037,10513,10739,2.15,8.294,355.0,DOM,8282.117,Latin America & Caribbean
57,Belarus,2019,3295.0,91.65,25.372,9450,9452,0.021,5.683,467.0,BLR,6837.718,Europe & Central Asia
58,Ecuador,2019,2563.0,64.09,22.24,16785,17374,3.509,4.596,312.0,ECU,6222.525,Latin America & Caribbean
59,"Egypt, Arab Rep.",2019,3307.0,95.52,8.074,96443,100388,4.09,2.94,1443.0,EGY,3019.092,Middle East & North Africa
60,El Salvador,2019,2739.0,77.77,15.736,6388,6454,1.033,6.079,147.0,SLV,4167.731,Latin America & Caribbean
