Area,Population difference (%),Animal protein (%),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Clusters
Armenia,0.441,32.263,3022.0,94.29,3
Afghanistan,4.81,8.227,2273.0,57.31,1
Albania,-0.104,30.587,3338.0,116.02,3
Algeria,4.02,10.85,3493.0,90.84,4
Angola,6.734,8.63,2445.0,52.09,1
Antigua and Barbuda,2.105,28.974,2485.0,80.8,5
Argentina,1.921,30.781,3304.0,106.95,3
Australia,2.514,32.163,3417.0,107.94,3
Austria,1.531,31.265,3691.0,108.95,3
"Bahamas, The",1.832,28.522,2626.0,76.1,5
Barbados,0.35,23.854,2989.0,90.04,5
Bangladesh,2.105,4.684,2626.0,61.33,2
Bolivia,2.859,22.159,2464.0,74.37,5
Botswana,4.49,13.852,2570.0,72.18,2
Brazil,1.547,26.956,3246.0,93.81,3
Belize,3.723,22.449,2744.0,73.54,5
Solomon Islands,5.346,8.378,2411.0,52.85,1
Bulgaria,-1.436,24.177,2854.0,82.24,3
Myanmar,1.24,22.41,2847.0,97.57,5
Burundi,6.502,2.521,1825.0,43.35,1
Cameroon,5.333,4.116,2770.0,72.03,2
Canada,1.849,27.126,3539.0,108.55,3
Cabo Verde,2.421,16.492,2583.0,71.9,2
Central African Republic,3.242,14.225,1870.0,50.9,1
Sri Lanka,0.928,7.576,2719.0,67.43,5
Chad,6.193,14.261,2272.0,78.06,2
Chile,2.61,25.731,3078.0,93.87,5
Colombia,2.922,18.683,2992.0,72.72,2
Comoros,4.545,8.053,2285.0,57.57,1
"Congo, Rep.",5.283,10.169,2183.0,53.11,1
Costa Rica,1.98,23.131,2996.0,80.84,5
Cuba,-0.053,15.644,3375.0,82.59,3
Cyprus,1.61,22.521,3046.0,92.38,5
Azerbaijan,2.062,18.358,3154.0,95.92,5
Benin,5.602,4.613,2775.0,62.92,2
Denmark,0.698,36.364,3421.0,115.38,3
Dominica,1.408,22.397,2929.0,81.47,5
Dominican Republic,2.15,17.037,2970.0,69.79,2
Belarus,0.021,25.372,3295.0,91.65,3
Ecuador,3.509,22.24,2563.0,64.09,5
"Egypt, Arab Rep.",4.09,8.074,3307.0,95.52,4
El Salvador,1.033,15.736,2739.0,77.77,5
Estonia,0.531,34.923,3167.0,102.35,3
Fiji,1.482,18.083,2859.0,77.9,5
Finland,0.381,38.464,3320.0,117.47,3
France,-2.455,31.625,3532.0,109.73,3
Georgia,-0.299,19.65,2860.0,79.11,5
Gabon,5.23,13.9,2633.0,78.93,2
"Gambia, The",6.052,8.014,2483.0,62.82,1
Germany,1.039,29.699,3559.0,104.24,3
Bosnia and Herzegovina,-1.521,17.952,3320.0,98.21,3
Ghana,4.454,3.982,3114.0,61.76,2
Kiribati,3.509,11.592,3071.0,70.35,2
Greece,-0.908,24.823,3396.0,107.35,3
Grenada,0.901,24.002,2479.0,72.51,5
Guatemala,3.937,11.15,2556.0,69.69,2
Guinea,5.825,4.949,2849.0,57.49,2
Guyana,1.032,18.265,2940.0,87.15,5
Haiti,2.559,7.828,2159.0,47.65,1
