,Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes)
0,1,Armenia,2019,3022.0,94.29,32.26340172071476,2945,2958,0.44142614601018676,3.9695021894236784,12.0
1,2,Afghanistan,2019,2273.0,57.31,8.227012758468984,36296,38042,4.810447432223937,0.5070120352680965,28.0
2,3,Albania,2019,3338.0,116.02,30.587177950868785,2884,2881,-0.10402219140083217,2.297077242545368,12.0
3,4,Algeria,2019,3493.0,90.84,10.850271972516461,41389,43053,4.020391891565391,1.2503519759675905,291.0
4,7,Angola,2019,2445.0,52.09,8.629856850715747,29817,31825,6.734413254183855,2.7530828921197856,49.0
5,8,Antigua and Barbuda,2019,2485.0,80.8,28.973843058350102,95,97,2.1052631578947367,16.202541275047547,0.0
6,9,Argentina,2019,3304.0,106.95,30.78087167070218,43937,44781,1.9209322438946674,8.938024478423829,2248.0
7,10,Australia,2019,3417.0,107.94,32.1627158326017,24585,25203,2.5137278828553997,9.449200412121504,1278.0
8,11,Austria,2019,3691.0,108.95,31.2652397724194,8820,8955,1.530612244897959,3.1435813882713597,132.0
9,12,Bahamas,2019,2626.0,76.1,28.52246763137852,382,389,1.8324607329842932,13.243007230122378,6.0
10,14,Barbados,2019,2989.0,90.04,23.85413181666109,286,287,0.34965034965034963,10.725573678831514,16.0
11,16,Bangladesh,2019,2626.0,61.33,4.683929931454684,159685,163046,2.104768763503147,0.3989608655280702,260.0
12,19,Bolivia (Plurinational State of),2019,2464.0,74.37,22.15909090909091,11193,11513,2.858929688197981,11.456246664294609,494.0
13,20,Botswana,2019,2570.0,72.18,13.852140077821012,2205,2304,4.489795918367347,0.7694472576088695,2.0
14,21,Brazil,2019,3246.0,93.81,26.956253850893408,207834,211050,1.5473887814313345,9.468901661897888,14137.0
15,23,Belize,2019,2744.0,73.54,22.448979591836736,376,390,3.723404255319149,6.569421702144655,21.0
16,25,Solomon Islands,2019,2411.0,52.85,8.378266279552053,636,670,5.345911949685535,1.5154514411686166,0.0
17,27,Bulgaria,2019,2854.0,82.24,24.176594253679045,7102,7000,-1.4362151506617855,5.226425780687523,109.0
18,28,Myanmar,2019,2847.0,97.57,22.409553916403233,53383,54045,1.2400951613809639,7.424224490090507,1817.0
19,29,Burundi,2019,1825.0,43.35,2.5205479452054793,10827,11531,6.5022628613651055,0.16145618314880839,7.0
20,32,Cameroon,2019,2770.0,72.03,4.115523465703971,24566,25876,5.332573475535293,0.7777162355966569,84.0
21,33,Canada,2019,3539.0,108.55,27.126306866346425,36732,37411,1.848524447348361,7.600723058522066,1504.0
22,35,Cabo Verde,2019,2583.0,71.9,16.492450638792103,537,550,2.4208566108007448,4.532607830970678,1.0
23,37,Central African Republic,2019,1870.0,50.9,14.224598930481283,4596,4745,3.2419495213228893,0.9769394183576295,7.0
24,38,Sri Lanka,2019,2719.0,67.43,7.576314821625598,21128,21324,0.9276789095039758,2.124048426345302,189.0
25,39,Chad,2019,2272.0,78.06,14.26056338028169,15017,15947,6.192981287873743,0.11816274358479648,7.0
26,40,Chile,2019,3078.0,93.87,25.730994152046783,18470,18952,2.609637249593936,7.630760055898243,769.0
27,44,Colombia,2019,2992.0,72.72,18.683155080213904,48910,50339,2.921692905336332,7.858847337191415,1693.0
