,Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP 2017,2018,2019,2020,Region,GDP 2017 (milliards),GDP per capita,Range GDP per capita
0,1,Armenia,2019,3022.0,94.29,32.26340172071476,2945,2958,0.44142614601018676,0.6062210456651225,12.0,ARM,3914.5278543669606,4220.5403207914505,4604.64632355695,4266.018074209461,Europe & Central Asia,3.914527854366961e-06,1323.369795255903,"(1110.26, 6898.826]"
1,2,Afghanistan,2019,2273.0,57.31,8.227012758468984,36296,38042,4.810447432223937,0.0774307083150022,28.0,AFG,516.679862210543,485.66841872980797,494.179349886029,516.747870807558,South Asia,5.16679862210543e-07,13.581826986240024,"(1.449, 66.911]"
2,3,Albania,2019,3338.0,116.02,30.587177950868785,2884,2881,-0.10402219140083217,0.3508088675853805,12.0,ALB,4531.019373768901,5287.66369446913,5395.65953185375,5246.292306347929,Europe & Central Asia,4.5310193737689e-06,1572.7245309853872,"(1110.26, 6898.826]"
3,4,Algeria,2019,3493.0,90.84,10.850271972516461,41389,43053,4.020391891565391,0.1909533352419124,291.0,DZA,4109.69821695727,4142.01855842917,3989.6682764523603,3306.85820838104,Middle East & North Africa,4.10969821695727e-06,95.45672117987759,"(66.911, 312.044]"
4,7,Angola,2019,2445.0,52.09,8.629856850715747,29817,31825,6.734413254183855,0.4204498977505112,49.0,AGO,4095.8100568707,3289.64399476678,2809.6260883912896,1776.1668678953101,Sub-Saharan Africa,4.0958100568707e-06,128.69788081290494,"(66.911, 312.044]"
5,8,Antigua and Barbuda,2019,2485.0,80.8,28.973843058350102,95,97,2.1052631578947367,2.474446680080483,0.0,ATG,15383.5763979856,16679.5916624545,17376.6496765004,13992.744480449699,Latin America & Caribbean,1.53835763979856e-05,158593.5711132536,"(6898.826, 384617.885]"
6,9,Argentina,2019,3304.0,106.95,30.78087167070218,43937,44781,1.9209322438946674,1.3650121065375302,2248.0,ARG,14613.041824658001,11795.1593866287,10056.637940265,8579.01777315683,Latin America & Caribbean,1.4613041824658e-05,326.32236494624954,"(312.044, 1110.26]"
7,10,Australia,2019,3417.0,107.94,32.1627158326017,24585,25203,2.5137278828553997,1.4430787240269243,1278.0,AUS,53934.2501750463,57180.779400161395,54875.2859563351,51692.8427477695,East Asia & Pacific,5.39342501750463e-05,2139.9932617167124,"(1110.26, 6898.826]"
8,11,Austria,2019,3691.0,108.95,31.2652397724194,8820,8955,1.530612244897959,0.4800866973719859,132.0,AUT,47312.0062332199,51461.433215008205,50114.4011099728,48586.8013213238,Europe & Central Asia,4.7312006233219904e-05,5283.306112029023,"(1110.26, 6898.826]"
9,12,"Bahamas, The",2019,2626.0,76.1,28.52246763137852,382,389,1.8324607329842932,2.0224676313785226,6.0,BHS,32376.509172257203,33290.028135413,33799.417694089105,25194.0251444381,Latin America & Caribbean,3.23765091722572e-05,83230.10069988998,"(6898.826, 384617.885]"
10,14,Barbados,2019,2989.0,90.04,23.85413181666109,286,287,0.34965034965034963,1.6380060220809636,16.0,BRB,17391.668908461397,17745.2553725928,18148.4978451054,15373.8547035017,Latin America & Caribbean,1.7391668908461397e-05,60598.14950683413,"(6898.826, 384617.885]"
11,16,Bangladesh,2019,2626.0,61.33,4.683929931454684,159685,163046,2.104768763503147,0.06092916984006093,260.0,BGD,1563.76781861826,1698.13208078712,1855.7400942231898,1961.6137487885999,South Asia,1.56376781861826e-06,9.590960947329343,"(1.449, 66.911]"
12,19,Bolivia,2019,2464.0,74.37,22.15909090909091,11193,11513,2.858929688197981,1.749594155844156,494.0,BOL,3351.12434384125,3548.5907802137704,3552.06814321502,3133.0998032150396,Latin America & Caribbean,3.3511243438412497e-06,291.0730777244202,"(66.911, 312.044]"
13,20,Botswana,2019,2570.0,72.18,13.852140077821012,2205,2304,4.489795918367347,0.11750972762645914,2.0,BWA,7296.09214157008,7503.8785883646,7203.064221229979,6404.8999315907395,Sub-Saharan Africa,7.29609214157008e-06,3166.706658667569,"(1110.26, 6898.826]"
14,21,Brazil,2019,3246.0,93.81,26.956253850893408,207834,211050,1.5473887814313345,1.4460874922982132,14137.0,BRA,9928.67589653405,9151.381731615358,8897.552965855291,6796.844542278771,Latin America & Caribbean,9.928675896534051e-06,47.04418809066122,"(1.449, 66.911]"
15,23,Belize,2019,2744.0,73.54,22.448979591836736,376,390,3.723404255319149,1.0032798833819243,21.0,BLZ,4945.85769867226,5001.422156634329,5078.8099444177205,4115.17700795622,Latin America & Caribbean,4.94585769867226e-06,12681.686406851948,"(6898.826, 384617.885]"
16,25,Solomon Islands,2019,2411.0,52.85,8.378266279552053,636,670,5.345911949685535,0.2314392368311904,0.0,SLB,2332.8442158554503,2411.8629263527696,2344.04897615315,2250.6011638607,East Asia & Pacific,2.3328442158554502e-06,3481.8570385902244,"(1110.26, 6898.826]"
17,27,Bulgaria,2019,2854.0,82.24,24.176594253679045,7102,7000,-1.4362151506617855,0.798177995795375,109.0,BGR,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,Europe & Central Asia,8.36629322145748e-06,1195.184745922497,"(1110.26, 6898.826]"
18,28,Myanmar,2019,2847.0,97.57,22.409553916403233,53383,54045,1.2400951613809639,1.1338250790305584,1817.0,MMR,1151.11446155062,1250.1736913066302,1271.1115749486,1467.60428115143,East Asia & Pacific,1.15111446155062e-06,21.299185152199463,"(1.449, 66.911]"
19,29,Burundi,2019,1825.0,43.35,2.5205479452054793,10827,11531,6.5022628613651055,0.024657534246575342,7.0,BDI,253.826354063895,238.783467020173,228.213589244227,238.990725856496,Sub-Saharan Africa,2.53826354063895e-07,22.012518781015956,"(1.449, 66.911]"
20,32,Cameroon,2019,2770.0,72.03,4.115523465703971,24566,25876,5.332573475535293,0.1187725631768953,84.0,CMR,1469.44749980724,1585.24053445546,1533.09568807789,1537.13021832773,Sub-Saharan Africa,1.46944749980724e-06,56.788046831320145,"(1.449, 66.911]"
21,33,Canada,2019,3539.0,108.55,27.126306866346425,36732,37411,1.848524447348361,1.1607798813224075,1504.0,CAN,45129.3564395662,46548.520360080896,46338.3409560127,43294.6481631917,North America,4.5129356439566205e-05,1206.312486690177,"(1110.26, 6898.826]"
22,35,Cabo Verde,2019,2583.0,71.9,16.492450638792103,537,550,2.4208566108007448,0.6922183507549361,1.0,CPV,3289.90220261281,3616.4645374971296,3603.7752405846204,3064.2723884281895,Sub-Saharan Africa,3.28990220261281e-06,5981.640368386928,"(1110.26, 6898.826]"
23,37,Central African Republic,2019,1870.0,50.9,14.224598930481283,4596,4745,3.2419495213228893,0.14919786096256685,7.0,CAF,450.900657858547,475.953813864813,467.908032277798,492.79587119399,Sub-Saharan Africa,4.50900657858547e-07,95.02648216196987,"(66.911, 312.044]"
24,38,Sri Lanka,2019,2719.0,67.43,7.576314821625598,21128,21324,0.9276789095039758,0.3243839646929018,189.0,LKA,4077.0438408748796,4059.20822984947,3852.26560287415,3680.67347661745,South Asia,4.07704384087488e-06,191.1950778875858,"(66.911, 312.044]"
25,39,Chad,2019,2272.0,78.06,14.26056338028169,15017,15947,6.192981287873743,0.018045774647887324,7.0,TCD,665.948884859102,726.151007088549,709.54004317463,659.270044977801,Sub-Saharan Africa,6.65948884859102e-07,41.760135753376936,"(1.449, 66.911]"
26,40,Chile,2019,3078.0,93.87,25.730994152046783,18470,18952,2.609637249593936,1.1653671215074723,769.0,CHL,14998.8170563218,15888.144355397,14741.714403993601,13231.7042069381,Latin America & Caribbean,1.4998817056321798e-05,791.410777560247,"(312.044, 1110.26]"
