Country Name;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
Afghanistan;Asia-Pacific;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;20;20;7.47;N/A;38.928341;78.729;-5;0.9824;2390.024;11.73;5.607;13;7.785
Albania;Europe;50;30;66.6;55.5;49.8;35.6060774796946;89.1;72.1;70.6;70.7;51.0661217975723;82;82.6;70;70;3.7;23;15;18.3;30.5146666666667;2.837743;40.737;-3.5;1.9856;14218.106;11.7;1.603;1107;75.96
Algeria;Middle East and North Africa;167;13;45.8;27.9;29.7;30.0988330656811;67.2;57.1;38.6;50;51.4700834042302;80.1;57.4;30;30;13.8;35;26;37.2;37.827;43.851043;491.459;-5.992;0.1016;11112.187;12.83;2.415;1125;53.067
Angola;Sub-Saharan Africa;139;29;52.6;39.8;25.3;20.6337447759053;86.6;86.4;80;37.6;53.8935357509052;61.2;70;30;40;7.5;25;25;9.4;21.255;32.866268;215.105;-3.975;-1.861;6931.862;7.7;22.277;-1866;127.115
Argentina;Americas;144;27;50.1;35.1;57.9;45.0551330680231;73.3;53;16.8;55.1;51.0464351100355;37.9;60.6;55;60;12.2;35;25;28.6;39.5813333333333;45.376763;941.848;-9.956;-2.774;20750.99;11.67;42.015;4123;102.998
Armenia;Europe;58;34;65.3;50.4;33.1;50.7801070433497;86.9;78.9;75.5;64.9;47.2254398831455;77.5;73.6;75;70;5.7;22;18;22.51;26.5336666666667;2.963234;39.38;-7.571;2.5898;13261.333;20.21;1.23;117;62.787
Australia;Asia-Pacific;12;4;77.7;91.7;95.2;87.0293596004061;62.5;51.6;52;84.6;64.2160780451093;83.2;90;80;90;2.5;45;30;28.68;40.179;25.687041;1329.878;-2.438;1.4986;51680.434;6.61;0.868;20146;63.128
Austria;Europe;22;15;73.8;98.4;94.6;82.8666245541182;45.5;20.3;71.7;82.3;78.3599315225301;82.3;79.2;80;70;2.9;55;25;42.44;51.5576666666667;8.917205;491.5;-6.59;0.3596;55218.46;5.77;1.391;-17340;85.224
Azerbaijan;Europe;75;37;61.6;53.6;15.9;28.616981938259;87.7;62.7;99.1;64.6;55.9020567069698;74.5;66.6;70;60;9.2;25;20;14.34;35.2586666666667;10.110116;145.77;-4.29;-0.6962;14430.858;6.27;2.824;507;21.37
Bahamas;Americas;38;6;68.7;61.1;78.8;64.2929148065302;96.5;85.8;67.3;63.3;69.2841924249519;79.2;49;50;60;18;0;0;18.7;21.7323333333333;0.393248;12.762;-16.281;-1.4954;33148.146;14.41;0.039;897;68.649
