id_prod,date,session_id,client_id,price,categ,sex,birth,age,age_range,age_range_mean,month,price_customer_purchase,price_range,number_purchase,number_purchase_month,basket_size
0_1420,2021-11-23 15:03:23.901688,s_123928,c_1609,11.53,0,m,1980,42,"(33.0, 48.0]",40,11,162007.34000000064,"(9.87, 11.73]",12855,1057,3
1_281,2021-12-01 01:18:04.655872,s_127578,c_1609,23.99,1,m,1980,42,"(33.0, 48.0]",40,12,162007.34000000064,"(20.99, 27.52]",12855,1287,3
0_1579,2021-05-03 19:46:14.181245,s_29458,c_1609,3.99,0,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(0.619, 4.99]",12855,1132,3
1_414,2022-02-23 05:56:09.841213,s_169492,c_1609,23.83,1,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(20.99, 27.52]",12855,1074,2
0_1163,2021-06-24 03:10:06.949281,s_52929,c_1609,9.99,0,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(9.87, 11.73]",12855,946,2
0_1208,2022-01-01 20:33:02.227704,s_143535,c_1609,5.65,0,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(4.99, 7.41]",12855,1011,3
1_29,2021-06-08 16:34:34.024441,s_45871,c_1609,11.99,1,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(11.73, 13.9]",12855,946,3
0_1583,2021-05-10 12:07:55.250394,s_32555,c_6714,15.99,0,f,1968,54,"(48.0, 63.0]",55,5,73220.8,"(13.9, 15.99]",4473,391,5
0_1801,2021-07-08 07:38:11.501278,s_59436,c_3454,3.99,0,m,1969,53,"(48.0, 63.0]",55,7,54466.37999999937,"(0.619, 4.99]",3275,243,1
1_425,2021-04-22 10:57:12.557029,s_24110,c_6714,16.99,1,f,1968,54,"(48.0, 63.0]",55,4,73220.8,"(15.99, 17.99]",4473,401,7
0_1067,2021-07-13 22:39:13.632129,s_61911,c_3454,12.99,0,m,1969,53,"(48.0, 63.0]",55,7,54466.37999999937,"(11.73, 13.9]",3275,243,1
0_1559,2022-01-30 14:42:39.759354,s_157449,c_1609,9.99,0,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(9.87, 11.73]",12855,1011,4
1_311,2021-05-23 14:04:54.397922,s_38462,c_1609,16.99,1,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(15.99, 17.99]",12855,1132,3
0_1479,2021-07-12 22:18:17.451341,s_61450,c_1609,15.99,0,m,1980,42,"(33.0, 48.0]",40,7,162007.34000000064,"(13.9, 15.99]",12855,829,2
1_40,2021-11-04 19:06:29.030648,s_114763,c_1609,30.25,1,m,1980,42,"(33.0, 48.0]",40,11,162007.34000000064,"(27.52, 300.0]",12855,1057,2
2_183,2022-01-22 11:23:46.197113,s_153499,c_4958,77.99,2,m,1999,23,"(17.925, 33.0]",25,1,144257.21000000183,"(27.52, 300.0]",2562,198,1
1_281,2021-12-16 23:24:53.342282,s_135447,c_6714,23.99,1,f,1968,54,"(48.0, 63.0]",55,12,73220.8,"(20.99, 27.52]",4473,400,5
0_2062,2022-01-26 02:32:21.805533,s_155257,c_6714,16.01,0,f,1968,54,"(48.0, 63.0]",55,1,73220.8,"(15.99, 17.99]",4473,380,3
0_1623,2021-04-21 01:38:34.998849,s_23446,c_1609,7.99,0,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(7.41, 9.87]",12855,1091,3
2_178,2022-02-05 11:18:46.394975,s_160309,c_4958,176.2,2,m,1999,23,"(17.925, 33.0]",25,2,144257.21000000183,"(27.52, 300.0]",2562,305,3
0_1345,2022-02-14 01:22:01.836063,s_164780,c_1609,17.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(15.99, 17.99]",12855,1074,3
0_1341,2021-09-12 08:46:58.542126,s_88685,c_1609,9.99,0,m,1980,42,"(33.0, 48.0]",40,9,162007.34000000064,"(9.87, 11.73]",12855,1428,6
1_281,2021-12-20 07:58:07.716546,s_137129,c_3454,23.99,1,m,1969,53,"(48.0, 63.0]",55,12,54466.37999999937,"(20.99, 27.52]",3275,373,1
0_1461,2021-04-19 11:39:00.541267,s_22734,c_6714,11.99,0,f,1968,54,"(48.0, 63.0]",55,4,73220.8,"(11.73, 13.9]",4473,401,4
0_1392,2021-05-30 09:27:45.218035,s_41587,c_3454,6.3,0,m,1969,53,"(48.0, 63.0]",55,5,54466.37999999937,"(4.99, 7.41]",3275,276,1
0_1609,2022-02-10 05:01:09.156547,s_162768,c_1609,18.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(17.99, 20.99]",12855,1074,4
0_1458,2021-08-11 23:37:11.497206,s_74523,c_6714,6.55,0,f,1968,54,"(48.0, 63.0]",55,8,73220.8,"(4.99, 7.41]",4473,290,3
0_1125,2021-11-03 11:52:33.496288,s_114134,c_1609,12.99,0,m,1980,42,"(33.0, 48.0]",40,11,162007.34000000064,"(11.73, 13.9]",12855,1057,2
1_523,2021-04-13 04:33:10.242832,s_19858,c_4958,23.99,1,m,1999,23,"(17.925, 33.0]",25,4,144257.21000000183,"(20.99, 27.52]",2562,209,1
1_533,2021-09-25 05:38:28.877361,s_95138,c_6714,11.99,1,f,1968,54,"(48.0, 63.0]",55,9,73220.8,"(11.73, 13.9]",4473,464,6
0_817,2021-04-05 21:33:14.621564,s_16508,c_1609,15.99,0,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(13.9, 15.99]",12855,1091,1
0_1190,2021-12-23 18:56:19.128450,s_138890,c_1609,6.63,0,m,1980,42,"(33.0, 48.0]",40,12,162007.34000000064,"(4.99, 7.41]",12855,1287,3
0_1186,2022-02-20 17:59:52.141535,s_168239,c_1609,12.3,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(11.73, 13.9]",12855,1074,3
1_434,2022-01-26 07:39:49.761954,s_155370,c_3454,15.87,1,m,1969,53,"(48.0, 63.0]",55,1,54466.37999999937,"(13.9, 15.99]",3275,336,1
2_154,2021-06-14 17:02:56.394693,s_48642,c_4958,96.74,2,m,1999,23,"(17.925, 33.0]",25,6,144257.21000000183,"(27.52, 300.0]",2562,231,2
1_260,2021-12-10 03:42:29.600592,s_132100,c_3454,17.63,1,m,1969,53,"(48.0, 63.0]",55,12,54466.37999999937,"(15.99, 17.99]",3275,373,3
0_1438,2022-01-26 16:36:32.545612,s_155545,c_1609,9.31,0,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(7.41, 9.87]",12855,1011,2
1_585,2021-05-06 08:19:54.082723,s_30627,c_1609,19.99,1,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(17.99, 20.99]",12855,1132,1
2_164,2021-08-26 03:29:22.784663,s_80720,c_4958,52.26,2,m,1999,23,"(17.925, 33.0]",25,8,144257.21000000183,"(27.52, 300.0]",2562,255,3
2_79,2021-09-01 11:01:11.978915,s_83518,c_4958,55.99,2,m,1999,23,"(17.925, 33.0]",25,9,144257.21000000183,"(27.52, 300.0]",2562,143,2
0_1480,2021-03-06 16:18:43.902432,s_2642,c_1609,4.15,0,m,1980,42,"(33.0, 48.0]",40,3,162007.34000000064,"(0.619, 4.99]",12855,1083,3
0_1977,2021-12-18 10:20:16.622740,s_136190,c_3454,5.99,0,m,1969,53,"(48.0, 63.0]",55,12,54466.37999999937,"(4.99, 7.41]",3275,373,1
2_162,2022-02-16 02:50:22.030535,s_165847,c_4958,102.82,2,m,1999,23,"(17.925, 33.0]",25,2,144257.21000000183,"(27.52, 300.0]",2562,305,3
0_2219,2021-04-18 03:19:06.108593,s_22128,c_6714,14.99,0,f,1968,54,"(48.0, 63.0]",55,4,73220.8,"(13.9, 15.99]",4473,401,4
1_616,2022-01-02 09:27:19.621206,s_143801,c_4958,29.02,1,m,1999,23,"(17.925, 33.0]",25,1,144257.21000000183,"(27.52, 300.0]",2562,198,2
0_2043,2021-09-23 18:00:44.261525,s_94368,c_1609,13.99,0,m,1980,42,"(33.0, 48.0]",40,9,162007.34000000064,"(13.9, 15.99]",12855,1428,3
1_337,2022-01-16 05:19:37.569811,s_150494,c_3454,24.99,1,m,1969,53,"(48.0, 63.0]",55,1,54466.37999999937,"(20.99, 27.52]",3275,336,2
0_1627,2021-04-22 23:43:10.977561,s_24348,c_1609,3.99,0,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(0.619, 4.99]",12855,1091,5
0_1548,2022-01-26 19:23:59.389025,s_155602,c_1609,9.66,0,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(7.41, 9.87]",12855,1011,2
0_2128,2021-08-08 04:18:55.587887,s_72830,c_1609,3.64,0,m,1980,42,"(33.0, 48.0]",40,8,162007.34000000064,"(0.619, 4.99]",12855,901,6
2_135,2022-02-10 06:12:42.518840,s_162795,c_4958,68.99,2,m,1999,23,"(17.925, 33.0]",25,2,144257.21000000183,"(27.52, 300.0]",2562,305,2
0_2150,2021-05-15 20:48:50.301849,s_34986,c_1609,9.8,0,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(7.41, 9.87]",12855,1132,5
0_1652,2021-05-08 19:25:23.306540,s_31782,c_6714,10.7,0,f,1968,54,"(48.0, 63.0]",55,5,73220.8,"(9.87, 11.73]",4473,391,3
1_468,2021-08-09 20:12:21.360144,s_73558,c_3454,17.75,1,m,1969,53,"(48.0, 63.0]",55,8,54466.37999999937,"(15.99, 17.99]",3275,247,2
0_1590,2021-03-26 04:21:38.608183,s_11580,c_1609,18.93,0,m,1980,42,"(33.0, 48.0]",40,3,162007.34000000064,"(17.99, 20.99]",12855,1083,4
0_1457,2021-07-20 09:48:51.449489,s_64781,c_1609,11.99,0,m,1980,42,"(33.0, 48.0]",40,7,162007.34000000064,"(11.73, 13.9]",12855,829,4
2_10,2021-04-28 20:52:55.745961,s_27137,c_4958,60.37,2,m,1999,23,"(17.925, 33.0]",25,4,144257.21000000183,"(27.52, 300.0]",2562,209,2
0_1253,2021-08-21 18:30:55.425458,s_78841,c_1609,12.99,0,m,1980,42,"(33.0, 48.0]",40,8,162007.34000000064,"(11.73, 13.9]",12855,901,3
0_998,2021-06-02 13:52:18.852935,s_43079,c_1609,9.41,0,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(7.41, 9.87]",12855,946,4
1_651,2021-06-15 20:49:31.723758,s_49165,c_1609,18.99,1,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(17.99, 20.99]",12855,946,2
0_1431,2022-02-14 09:09:48.000149,s_164967,c_1609,10.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(9.87, 11.73]",12855,1074,5
0_1440,2022-01-27 16:29:19.804840,s_156025,c_6714,5.62,0,f,1968,54,"(48.0, 63.0]",55,1,73220.8,"(4.99, 7.41]",4473,380,8
0_1509,2022-02-24 14:26:53.460388,s_170223,c_1609,4.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(0.619, 4.99]",12855,1074,1
2_37,2021-04-03 08:15:57.340664,s_15311,c_6714,48.99,2,f,1968,54,"(48.0, 63.0]",55,4,73220.8,"(27.52, 300.0]",4473,401,4
1_374,2022-01-07 12:41:00.479299,s_146324,c_1609,10.71,1,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(9.87, 11.73]",12855,1011,2
2_104,2021-03-29 20:30:10.027974,s_13223,c_4958,43.35,2,m,1999,23,"(17.925, 33.0]",25,3,144257.21000000183,"(27.52, 300.0]",2562,219,2
1_733,2021-07-03 08:01:54.330879,s_57221,c_1609,31.99,1,m,1980,42,"(33.0, 48.0]",40,7,162007.34000000064,"(27.52, 300.0]",12855,829,2
0_1340,2021-05-08 05:11:49.693745,s_31495,c_1609,14.76,0,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(13.9, 15.99]",12855,1132,3
1_731,2021-09-12 22:02:56.049153,s_88982,c_3454,11.99,1,m,1969,53,"(48.0, 63.0]",55,9,54466.37999999937,"(11.73, 13.9]",3275,300,3
0_1470,2021-12-08 01:06:06.272085,s_131034,c_1609,19.53,0,m,1980,42,"(33.0, 48.0]",40,12,162007.34000000064,"(17.99, 20.99]",12855,1287,3
0_1075,2021-04-02 19:56:42.882314,s_15073,c_1609,10.99,0,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(9.87, 11.73]",12855,1091,5
0_1894,2021-11-11 08:21:04.705460,s_117928,c_3454,8.77,0,m,1969,53,"(48.0, 63.0]",55,11,54466.37999999937,"(7.41, 9.87]",3275,291,1
1_343,2022-02-21 07:50:58.106431,s_168515,c_6714,27.99,1,f,1968,54,"(48.0, 63.0]",55,2,73220.8,"(27.52, 300.0]",4473,348,3
0_1350,2021-05-11 06:40:21.938380,s_32920,c_3454,14.45,0,m,1969,53,"(48.0, 63.0]",55,5,54466.37999999937,"(13.9, 15.99]",3275,276,3
0_1002,2021-06-15 01:14:08.046501,s_48797,c_6714,8.31,0,f,1968,54,"(48.0, 63.0]",55,6,73220.8,"(7.41, 9.87]",4473,387,2
0_1846,2021-06-27 12:52:45.553250,s_54554,c_1609,3.51,0,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(0.619, 4.99]",12855,946,3
0_1010,2021-12-13 23:33:02.847025,s_133956,c_1609,1.96,0,m,1980,42,"(33.0, 48.0]",40,12,162007.34000000064,"(0.619, 4.99]",12855,1287,3
1_383,2021-05-07 11:01:08.364321,s_31124,c_4958,28.99,1,m,1999,23,"(17.925, 33.0]",25,5,144257.21000000183,"(27.52, 300.0]",2562,214,1
1_712,2021-06-23 20:59:39.313859,s_52820,c_4958,25.48,1,m,1999,23,"(17.925, 33.0]",25,6,144257.21000000183,"(20.99, 27.52]",2562,231,5
0_1095,2021-12-16 07:26:35.120242,s_135123,c_1609,6.99,0,m,1980,42,"(33.0, 48.0]",40,12,162007.34000000064,"(4.99, 7.41]",12855,1287,9
1_431,2022-01-04 18:29:23.629520,s_144952,c_6714,27.99,1,f,1968,54,"(48.0, 63.0]",55,1,73220.8,"(27.52, 300.0]",4473,380,4
0_664,2021-03-06 00:17:17.783787,s_2328,c_1609,5.13,0,m,1980,42,"(33.0, 48.0]",40,3,162007.34000000064,"(4.99, 7.41]",12855,1083,2
1_724,2021-04-08 04:41:37.206832,s_17564,c_1609,16.94,1,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(15.99, 17.99]",12855,1091,2
0_1426,2021-09-27 05:18:00.500453,s_96185,c_1609,13.44,0,m,1980,42,"(33.0, 48.0]",40,9,162007.34000000064,"(11.73, 13.9]",12855,1428,4
0_1450,2021-05-15 17:33:04.712475,s_34925,c_1609,7.43,0,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(7.41, 9.87]",12855,1132,1
0_1445,2022-02-08 12:17:47.644385,s_161917,c_1609,9.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(9.87, 11.73]",12855,1074,3
0_1619,2021-04-29 15:23:17.342079,s_27500,c_1609,4.99,0,m,1980,42,"(33.0, 48.0]",40,4,162007.34000000064,"(0.619, 4.99]",12855,1091,2
1_242,2021-07-19 00:05:20.088240,s_64185,c_1609,16.31,1,m,1980,42,"(33.0, 48.0]",40,7,162007.34000000064,"(15.99, 17.99]",12855,829,1
0_1409,2022-02-26 04:34:55.093726,s_171004,c_1609,4.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(0.619, 4.99]",12855,1074,4
0_1082,2022-02-16 18:50:40.942519,s_166204,c_1609,15.41,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(13.9, 15.99]",12855,1074,2
0_1182,2021-03-30 12:21:08.257934,s_13516,c_6714,19.88,0,f,1968,54,"(48.0, 63.0]",55,3,73220.8,"(17.99, 20.99]",4473,391,4
0_1430,2021-05-17 02:50:24.556713,s_35550,c_1609,16.47,0,m,1980,42,"(33.0, 48.0]",40,5,162007.34000000064,"(15.99, 17.99]",12855,1132,3
0_1139,2021-08-28 04:30:29.344436,s_81677,c_3454,3.99,0,m,1969,53,"(48.0, 63.0]",55,8,54466.37999999937,"(0.619, 4.99]",3275,247,1
2_227,2021-05-07 14:12:20.965306,s_31192,c_4958,50.99,2,m,1999,23,"(17.925, 33.0]",25,5,144257.21000000183,"(27.52, 300.0]",2562,214,3
0_1115,2021-07-01 12:02:29.104551,s_56390,c_6714,6.99,0,f,1968,54,"(48.0, 63.0]",55,7,73220.8,"(4.99, 7.41]",4473,327,6
0_1253,2021-07-30 08:21:26.224196,s_69021,c_1609,12.99,0,m,1980,42,"(33.0, 48.0]",40,7,162007.34000000064,"(11.73, 13.9]",12855,829,3
0_1527,2021-09-06 02:46:08.695951,s_85679,c_1609,7.99,0,m,1980,42,"(33.0, 48.0]",40,9,162007.34000000064,"(7.41, 9.87]",12855,1428,2
1_475,2021-04-15 22:57:21.491462,s_21103,c_6714,20.99,1,f,1968,54,"(48.0, 63.0]",55,4,73220.8,"(17.99, 20.99]",4473,401,10
0_1412,2021-08-03 12:47:02.329127,s_70849,c_1609,11.73,0,m,1980,42,"(33.0, 48.0]",40,8,162007.34000000064,"(9.87, 11.73]",12855,901,4
0_1435,2022-01-07 19:10:42.594869,s_146449,c_1609,13.99,0,m,1980,42,"(33.0, 48.0]",40,1,162007.34000000064,"(13.9, 15.99]",12855,1011,3
0_1405,2022-02-20 11:37:35.931989,s_168084,c_1609,4.99,0,m,1980,42,"(33.0, 48.0]",40,2,162007.34000000064,"(0.619, 4.99]",12855,1074,3
0_1213,2021-06-09 03:17:56.999973,s_46081,c_1609,21.99,0,m,1980,42,"(33.0, 48.0]",40,6,162007.34000000064,"(20.99, 27.52]",12855,946,2
0_1671,2021-08-01 18:27:04.761828,s_70058,c_1609,3.99,0,m,1980,42,"(33.0, 48.0]",40,8,162007.34000000064,"(0.619, 4.99]",12855,901,1
